CaseID,Title,Location,City,State,Latitude,Longitude,CF,CI,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Description,Date,Day of Week,Date - Detailed,Shooter Name,Number of shooters,Shooter Age(s),Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - Detailed,Type of Gun - General,Number of Shotguns,Number of Rifles,Number of Handguns,Total Number of Guns,Number of Automatic Guns,Number of Semi-Automatic Guns,Fate of Shooter at the scene,Fate of Shooter,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - Detailed,Targeted Victim/s - General,Possible Motive - Detailed,Possible Motive - General,History of Mental Illness - Detailed,History of Mental Illness - General
11,Welding shop in Miami,"Miami, Florida",Miami,Florida,25.79653943,-80.20840397,8,3,0,0,9,11,"On August 20, 1982, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",8/20/82,Friday,"Friday, August 20, 1982",Carl Robert Brown,1,51,51,Male,White American or European American,Mossberg 500 Persuader,Shotgun,1,0,0,1,0,0,Deceased,Deceased,Killed,No,Retail/Wholesale/Services facility,Place of business/employment,Employees at the welding shop where the shooter had an argument the day before.,Colleague/Workmate/Business acquaintance,"The day before the shooting, the shooter had a heated argument with an employee at a welding machine shop. The shooter also had a long history of psychiatric problems.",Mental illness,"The shooter had a long history of psychiatric problems. Before the shooting, he was examined by a psychiatrist who declared that the shooter was suffering from rather severe anxiety associated with some paranoid and grandiose ideas"" and that he also ""demonstrates a probable thinking disorder"". At the time of the shooting he was on psychiatric leave from his teaching job. ",Yes
13,Johnston Post Office,"Johnston, South Carolina",Johnston,South Carolina,33.83272887,-81.8051584,1,3,0,0,1,4,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.",8/19/83,Friday,"Friday, August 19, 1983",Perry Bush Smith,1,55,55,Male,White American or European American,12-gauge shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,No,Government facility,Place of business/employment,Three coworkers at the post office where he worked and a police officer,Colleague/Workmate/Business acquaintance,"Former employee, upset at the death of his son and perceived poor treatment at work. He resigned three months prior to the event. Prior to his resignation, it was reported that he was depressed as a result of his son committing suicide and this affected his work performance. His boss began reprimanding him for performance issues.",Multiple motives,"The shooter had suffered from depression since his son's suicide nine months before the shooting. He was found incompetent to stand trial. A court-appointed attorney reportedly claim the shooter thought he was ""Moses"" and was on a mission. Psychiatric experts, Dr. Harold Morgan and Dr. John Billinsky, both specialists in forensic psychiatry, testified that appellant was suffering from a mental problem known as a delusional disorder, specifically, persecutory delusion. ",Yes
14,49th Street Elementary School,"Los Angeles, California",Los Angeles,California,34.17622092,-118.5399542,2,12,0,0,3,14,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.",2/24/84,Friday,"Friday, February 24, 1984",Tyrone Mitchell,1,28,28,Male,Black American or African American,"AR15 rifle, Stoeger 12 gauge double-barreled shotgun, Winchester 12 gauge pump-action shotgun",Multiple guns,2,1,0,3,0,0,Deceased,Deceased,Suicide,Yes,Primary school,Place of residency,No apparent relationship or motive,Students/Classmates/Teacher,"The shooter's house where he grew up was razed to build the 49th Street Elementary School. He lost both his parents, four sisters and a brother in the mass suicide at Jonestown on November 18, 1978. He had a reputation in the neighborhood for his irrational and violent behavior and as a user of narcotics such as PCP.",Multiple motives,"The shooter had a history of mental problems. County officials had declared the shooter ""unemployable"" five years earlier because of an ""anxiety neurosis"" characterized by excessive fear or dread, but he was not being treated for mental illness.",Yes
15,Ianni's Club in Dallas,"Dallas, Texas",Dallas,Texas,32.79480596,-96.76631094,6,1,0,0,6,7,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person. ",6/29/84,Friday,"Friday, June 29, 1984",Abdelkrim Belachheb,1,39,39,Male,White American or European American,Smith & Wesson 9mm semi-automatic pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Entertainment venue,Place of recreation,Dance partner and club customers,Social,"Rejected by dance partner. Shooter quit his job earlier that day. He was a criminal, an ex-con from a Kuwaiti prison, and wanted for violent crimes in Belgium.",Social dispute,"The shooter pleaded not guilty by reason of insanity. However, he did not meet the legal standard for insanity because his actions proved he knew right from wrong at the time of the shooting. During his trial, a psychiatrist asserted that the shooter was suffering from both organic brain damage and a personality disorder. He attributed his ability to function to a condition called dissociative phenomenon.",Yes
16,McDonald's restaurant in San Ysidro,"San Ysidro, California",San Ysidro,California,32.555556,-117.047656,21,19,0,0,22,40,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.",7/18/84,Wednesday,"Wednesday, July 18, 1984",James Oliver Huberty,1,41,41,Male,White American or European American,"Browning P-35 9mm semi-automatic pistol, Winchester 1200 pump-action 12 gauge shotgun (manually operated), Israeli Military Industries 9mm Model A Carbine (Uzi) semi-automatic",Multiple guns,1,0 (1),2 (1),3,1(0),1(2),Deceased,Deceased,Killed,No,Restaurant/Cafe?,Place of recreation,Restaurant customers and employees,General public,"Unemployed security guard. Survivalist with mental health issues. He was seeking revenge on society for a real estate deal where he felt robbed. Apparently, he had threatened his wife and children with a gun and attempted suicide one or two months before the shooting. The day before the shooting, he called a mental health center for help and waited for them to return his call, but it never happened.",Multiple motives,"Shooter was known to neighbors as an angry men with a violent streak, a man given to shooting from his balcony and flying into rages over minor problems. On the day before the massacre, shooter had called a mental health center. Since he had not claimed there was an immediate emergency, his call was not returned. He attempted suicide a couple of months before the incident. He also threatened his wife and children with a gun. His autopsy revealed that he had unusually high levels of cadmium in his body. The metal is believed to interfere with the brain's ability to exhibit self-control.",Yes
17,Goddard Junior High School,"Goddard, Kansas",Goddard,Kansas,37.67129418,-97.55070476,1,3,0,0,1,4,"On January 21, 1985, a 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",1/21/85,Monday,"Monday, January 21, 1985",James Alan Kearbey,1,14,14,Male,White American or European American,"M-1A semi-automatic rifle, .357 caliber Magnum pistol",Multiple guns,0,1,1,2,0,1,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,"School principal, two teachers and one student",Students/Classmates/Teacher,"Possible bullying retaliation. The shooter saw a psychologist since 1983 who described him as ""an angry, upset, frustrated and depressed young man"". He was teased by a group of ""jocks"" at school. ",Harassment,During a court hearing it was stated that the gunman had a sudden onset of psychotic disorder.,Yes
18,Atlanta Post Office,"Atlanta, Georgia",Atlanta,Georgia,33.7629969,-84.4231328,2,1,0,0,2,3,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",3/6/85,Wednesday,"Wednesday, March 06, 1985",Steven W. Brownlee,1,30,30,Male,Black American or African American,.22 caliber pistol,Handgun,0,0,1,1,0,1,Custody,Custody,Not applicable,No,Government facility,Place of business/employment,Coworkers at the post office,Colleague/Workmate/Business acquaintance,The shooter had been forced to work seventy to eighty hour workweeks to keep up with his supervisor's demands. He also had some exchange of words before the shooting with his coworkers regarding the recent death of another coworker that apparently he liked.,Mental illness,"The suspect was known to sometimes hear voices. A coworker reported that he had been ""mentally disturbed for quite some time. He was always talking to himself, always acting abnormal"". He had received treatment and psychotropic drugs at the Grady Memorial Psychiatric Unit. After being arrested, he was found not guilty by reason of insanity.",Yes
19,New York Technical College,"Brooklyn, New York",Brooklyn,New York,40.679276,-73.939513,1,4,0,0,1,5,"On August 12, 1986, a 29-year civil technology student  at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.",8/12/86,Tuesday,"Tuesday, August 12, 1986",Van Anthony Hull,1,29,29,Male,Black American or African American,"9mm semi-automatic, .38 caliber revolver",Handgun,0,0,2,2,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,"Shooter's supervisor at the college, two people at the financial-aid office, a student, and a security guard","Students/Classmates/Teacher
and Government",The student had been in and out of a Georgia mental hospital three times before the shooting. His mother told police her son had to to the mental hospital because he had been hearing voices.,Mental illness,"He spent time in a Georgia mental institution, the Georgia Regional Hospital, in 1981. At the time of his trial was expected to undergo a series of psychiatric examinations. His mother told the New York Post that her son heard ""voices through the wall"". Hull was eventually found unfit to stand trial.
He was charged with the shooting death of a lab technician at New York Technical College and wounding four others due to his mental condition.",Yes
20,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",Edmond,Oklahoma,35.66889223,-97.41438792,14,6,0,0,15,20,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.",8/20/86,Wednesday,"Wednesday, August 20, 1986",Patrick Henry Sherrill,1,44,44,Male,White American or European American,"Two Remington-manufactured M1911 (.45 ACP) Semi-automatic Pistols, one Ruger (.22 caliber) semi-automatic Pistol",Handgun,0,0,3,3,0,3,Deceased,Deceased,Suicide,No,Government facility,Place of business/employment,Shooter's supervisor and coworkers at the post office,Colleague/Workmate/Business acquaintance,"Shooter had several run-ins with his supervisors at the post office. According to postal officials, he was criticized for his performance and was told he must improve is he wanted to keep his job. The last warning occurred the day prior to the shooting.",Multiple motives,"During his adolescence, the shooter confessed to a friend that he feared he inherited mental illness from his father, and later disregarded a suggestion from his pastor to seek psychiatric therapy. He had been known to stalk through his neighborhood at night in military attire. He had a reputation as a peeping-Tom and a history of animal cruelty. ",Yes
21,Fergus County High School,"Lewistown, Montana",Lewistown,Montana,47.03740653,-109.4844918,1,3,0,0,1,4,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",12/4/86,Thursday,"Thursday, December 04, 1986",Kristofor Hans,1,14,14,Male,White American or European American,Large-caliber Remington Magnum revolver,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,"Teacher, vice-principal, two students",Students/Classmates/Teacher,The shooter was upset that he was receiving a failing grade in his French class. He later admitted that the novel Rage by Stephen King was a contributing factor to him following through with the shooting.,Failure,"After the incident, the shooter was evaluated and diagnosed with severe conduct disorder and schizotypal personality disorder. Because of ""the severity of the symptomatology associated with this diagnosis"", the hospital staff found that the shooter did ""suffer from a mental disease, disorder, or defect within the definition of the State of Montana Statutes.""",Yes
22,Palm Bay Shopping Centers,"Palm Bay, Florida",Palm Bay,Florida,27.98388983,-80.66662713,4,14,2,0,6,20,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.",4/23/87,Thursday,"Thursday, April 23, 1987",William Cruse,1,59,59,Male,White American or European American,".357 Ruger Blackhawk revolver, 20-gauge Winchester pump-action shotgun, .223 caliber Ruger Mini 14 semi-automatic rifle",Multiple guns,1,1,1,3,0,1,Custody,Custody,Not applicable,No,Retail/Wholesale/Services facility,Place of residency,"Neighbors, grocery store patrons and employees",General public,"The shooter suspected that nearly everyone was against him. He had a long-standing list of psychological problems and when he relocated to Palm Bay, his already considerable paranoia deepened. He was convinced that his neighbors and clerks at the local supermarkets were spreading false rumors of his sexuality.",Mental illness,"At his trial, several psychiatrists found him to be suffering from paranoid schizophrenia. The shooter ""believed that he was the target of a wide-ranging conspiracy to destroy his life, and he often imagined seeing acts of disrespect and indignity that were designed to anger him.""",Yes
24,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",Sunnyvale,California,37.38344257,-122.0256185,7,4,0,0,7,11,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.",2/16/88,Tuesday,"Tuesday, February 16, 1988",Richard Farley,1,39,39,Male,White American or European American,"9mm Smith & Wesson pistol, .380 ACP Browning pistol, .357 Magnum Smith & Wesson revolver, a Sentinel revolver, 12 gauge Benelli riot configuration semi-automatic shotgun, a pump-action shotgun, .22-350 rifle with scope",Multiple guns,2,1,4,7,0,3,Custody,Custody,Not applicable,No,Company/Factory/Office,Place of business/employment,Former coworkers,Colleague/Workmate/Business acquaintance,"The shooter was scheduled for a court hearing the day following the shooting regarding the implementation of a permanent restraining order against him by a female coworker. The female coworker had been harassed and stalked by the shooter over the period of several years, and was shot and injured during the incident.",Rejection,"The shooter had an obsession with and delusions of a relationship with his female coworker for nearly four years, in which he threatened her and others in his workplace with violence.",Yes
25,Hubbard Woods Elementary School,"Winnetka, Illinois",Winnetka,Illinois,42.10648807,-87.74211141,1,7,0,0,2,8,"On May 20, 1988, a 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",5/20/88,Friday,"Friday, May 20, 1988",Laurie Dann,1,30,30,Female,White American or European American,".22 caliber semi-automatic Beretta pistol, Smith and Wesson .357 Magnum revolver, .32 Smith and Wesson revolver",Multiple guns,0,0,2,2,0,1,Deceased,Deceased,Suicide,Yes,Primary school,Place of residency,Second-grade students at the elementary school and a man who resided at the home in which she was found,Students/Classmates/Teacher,"The shooter allegedly chose the Hubbard Woods Elementary due to her belief that the children of her former in-laws attended the school. The shooter suffered from mental illness, obsessive-compulsive tendencies and delusions, which contributed to her believing she had been slighted by a number of individuals that she eventually targeted either with firearm violence or poisoned goods.",Mental illness,"The shooter was diagnosed with and underwent psychiatric treatment for erratic behavior and obsession-compulsive disorder for years before the shooting commenced. At the time of the incident, she had stopped seeing her behavior therapist and psychiatrist and was taking drugs for OCD and mood stabilizers.",Yes
26,Comet Auto Parts and Montefiore School,"Chicago, Illinois",Chicago,Illinois,41.83928045,-87.68818145,3,1,1,1,5,6,"On September 22, 1988, a 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",9/22/88,Thursday,"Thursday, September 22, 1988",Clemmie Henderson,1,40,40,Male,Black American or African American,.38 caliber revolver,Handgun,0,0,1,1,0,0,Deceased,Deceased,Killed,Yes,"Retail/ Wholesale/Services facility
and Primary school",Place of residency,"killed two employees at a Comet Auto PartsAuto parts store employees, general public
(He killed two employees at a Comet Auto Parts and injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another)","General public
and Government",Those who knew the shooter suggested that he seemed to have carried disturbances from his time in Vietnam as an infantryman.,Mental illness,"Although there is no record of the shooter having sought treatment for a mental illness, those who knew the shooter felt that he help onto traumatic experiences from the Vietnam War, which may have attributed to his mental disturbances.",No
27,Oakland Elementary School,"Greenwood, South Carolina",Greenwood,South Carolina,34.1928952,-82.15355508,2,9,0,0,2,11,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",9/26/88,Monday,"Monday, September 26, 1988","James William ""Jamie"" Wilson, Jr.",1,19,19,Male,White American or European American,.22 caliber nine-shot revolver,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,Students and teachers of an elementary school,Students/Classmates/Teacher,His classmates used to tease him for being overweight and dressing funny. He was raised in a chaotic and abusive family environment.  The shooter had been in and out of a psychiatric ward for the past 8 months prior to the shooting. He was given an anti-depression drug during those times. His family's insurance ran out and he stopped going to the ward. His father described him as a terrible-tempered hyperactive recluse fascinated by crime stories. The suspect was kicked out of his home when he was 16 and said that he had patterned his shooting after another school shooting that happened 4 months earlier.,Mental illness,"A post-conviction investigation revealed that the shooter showed signs of mental illness and paranoia from a young age. Relative said he was in and out of a hospital psychiatric ward several times over the 8 months before the incident and had been taking drugs for depression and was schizophrenic. When he turned nineteen, his father's health insurance no longer covered him, therefore he was refused readmission to the psychiatric hospital, the front doors were thusly locked any time he tried to have someone help him. Doctors testified that the shooter met the legal standard for being ""guilty but mentally ill"". Later the same doctor declared that at the time of the shootings, he was not only mentally ill but actually insane. Originally diagnosed as suffering from a borderline personality disorder, his mental illness would later discovered to be that of schizophrenia.",Yes
28,New Orleans Downtown Post Office,"New Orleans, Louisiana",New Orleans,Louisiana,30.0687242,-89.93147412,0,3,0,1,0,4,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",12/14/88,Wednesday,"Wednesday, December 14, 1988","Warren Murphy, Jr.",1,39,39,Male,Unknown,Sawed-off 12-gauge shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,No,Government facility,Place of business/employment,"Coworkers in the post office, FBI agents",Colleague/Workmate/Business acquaintance,"The shooter was distraught about problems at work, the welfare of his children who were in custody of his estranged wife, and difficulties in the relationship with his ex-girlfriend that ended just a few weeks before. According to his ex-girlfriend, he had been threatening for months to kill people at the New Orleans' main post office. 
The shooter came to work that evening and got into some sort of argument with a co-worker, and pulled a weapon out of a bag he had secured in the area",Rejection,Unknown,Unknown
